bstoparsno,bstopid,name,stoptype,lng,lat
12458,216670101,"금강펜테리움아파트","일반",128.920346599999990,35.100154529999998
12459,217070101,"한일기공","일반",128.825088700000010,35.141871250000001
12460,217060101,"한일기공","일반",128.824916699999990,35.142027050000003
12461,192790101,"테크노파크입구","일반",128.828660700000000,35.144358779999997
12462,192770201,"테크노파크입구","일반",128.828505500000010,35.144532370000000
12463,192770101,"자동차부품복지관","일반",128.830584800000000,35.146256070000000
12464,192760201,"자동차부품복지관","일반",128.830374199999990,35.146403440000000
12465,192750401,"이원솔루텍","일반",128.830849599999990,35.148277469999996
12466,192750201,"이원솔루텍","일반",128.830586799999990,35.148549600000003
12467,214490401,"부영1차아파트","일반",128.874021800000010,35.087562280000000
12468,209470401,"부영2차아파트","일반",128.875002099999990,35.087276760000002
12469,209500501,"녹산동신호민원센터","일반",128.873226800000000,35.083000929999997
12470,214930301,"성북마을","일반",128.832279699999990,35.057075900000001
12471,215410101,"성북마을","일반",128.832363700000000,35.057160240000002
12473,216670201,"명지초교.명지중학교","일반",128.926335599999990,35.103841250000002
12474,191560301,"명지초교.명지중학교","일반",128.926876400000000,35.104220200000000
12475,217250101,"대방노블랜드아파트","일반",128.920129199999990,35.097316040000003
12476,216680301,"호반베르디움아파트","일반",128.919744200000000,35.097263580000003
12477,209470301,"부영2차아파트","일반",128.872772400000000,35.086264770000000
12478,209480101,"부영2차아파트","일반",128.873234200000010,35.086320720000003
12481,219800301,"금강펜테리움2차아파트","일반",128.921047600000010,35.103159269999999
12482,216670301,"금강펜테리움2차아파트.호반베르디움2차아파트","일반",128.920643100000010,35.103210730000001
12483,191560302,"명지국제신도시입구","일반",128.923245600000000,35.104647430000000
12484,216670202,"명지국제신도시입구","일반",128.922042500000000,35.104315049999997
12485,220690101,"(주)신영","일반",128.820431899999990,35.139307539999997
12486,217070201,"(주)신영","일반",128.820277600000000,35.139521639999998
12487,214470105,"삼영MT","일반",128.819742999999990,35.149758400000003
12488,214460204,"삼영MT","일반",128.819780500000010,35.149473950000001
12489,211740101,"에스피엘","일반",128.824990200000000,35.150603189999998
12490,192720301,"에스피엘","일반",128.824989300000000,35.150805970000000
12491,191360401,"협성휴포레","일반",128.918601400000000,35.106865870000000
12492,219230301,"협성휴포레","일반",128.919061400000000,35.106840560000002
12493,219230201,"호반베르디움2차.금강펜테리움2차","일반",128.917900000000000,35.102208779999998
12494,219790101,"호반베르디움2차.금강펜테리움2차","일반",128.918381700000000,35.102174120000001
12495,220720301,"지법서부지원.지검서부지청","일반",128.908202300000000,35.096986229999999
12496,220610101,"지법서부지원.지검서부지청","일반",128.908161500000010,35.096644419999997
12497,190340401,"송정마을입구","일반",128.843060799999990,35.098182410000000
12498,190360201,"송정마을입구","일반",128.843044600000010,35.097780870000001
12499,215250302,"신호중학교","일반",128.875702300000000,35.081470099999997
12500,220590201,"중흥1차.부영동문","일반",128.916225300000010,35.096129670000003
12501,220720401,"중흥1차.부영동문","일반",128.916192099999990,35.095886880000002
12502,220720101,"법원검찰청사거리","일반",128.911649700000000,35.095994640000001
12503,219490301,"법원검찰청사거리","일반",128.912165499999990,35.096013540000001
12504,214460103,"매일정기","일반",128.811596600000000,35.149540279999997
12505,216720201,"중흥프라디움","일반",128.915431399999990,35.098755699999998
12506,192590401,"중흥프라디움","일반",128.915475300000000,35.098286389999998
12509,504450000,"명지더웨스턴","일반",128.913927400000010,35.096454369999996
12514,191940102,"성산농협","일반",128.896612800000010,35.124356830000004
12515,188900101,"성산농협","일반",128.896782599999990,35.124180459999998
12516,504620000,"송정초등학교","일반",128.875182999999990,35.085844489999999
12517,504630000,"송정초등학교","일반",128.875439099999990,35.085534119999998
12518,504940000,"더에듀팰리스부영","일반",128.913911000000010,35.096104189999998
12527,506520000,"조선해양기자재연구원","일반",128.863210900000010,35.160610360000000
12528,506460000,"범방동삼층석탑","일반",128.864065299999990,35.161985059999999
12529,506570000,"한국해양대학교 서부산융합캠퍼스","일반",128.866979300000000,35.161282300000003
12530,506560000,"한국해양대학교 서부산융합캠퍼스","일반",128.866707300000000,35.160907989999998
12531,506470000,"범방동삼층석탑","일반",128.864093000000000,35.162236970000002
12532,506530000,"조선해양기자재연구원","일반",128.863559200000000,35.160487850000003
12537,506700000,"명원초등학교","일반",128.912508400000010,35.093327080000002
12538,506690000,"명원초등학교","일반",128.911943400000010,35.093782089999998
12539,506830000,"국제산업물류산단","일반",128.868575099999990,35.136413920000003
12540,506840000,"국제산업물류산단","일반",128.868265500000010,35.136788180000003
